w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
-1.445229988461538446e-02,-2.519671157307692283e-02,3.637231540384615325e-02,3.251458561538463077e-02,4.525417142307693319e-01,-1.139295124038461537e+01,2.334276944444444446e-01,-1.171299737777777711e-02,3.993405700000000058e-01,4.593042384615384321e+01,3.729769230769231569e+01,9.976625999999999550e-01,5.605103400000000305e-03,2.403163500000000052e-04,6.810319400000000578e-02,-2.045906200000000008e-01,4.429364800000000213e-01,-4.515063299999999558e+00,8.465561999999999809e-01,3.009337999999999735e-01,-1.650660999999999934e+00
7.675644803999997351e-03,-1.326881159320000281e-01,3.556739456860000259e-02,-2.209118260000008001e-03,4.402640166399999777e-01,-1.082871271000000135e+01,2.347532755555555573e-01,-1.496366055555555484e-02,3.955156122222222015e-01,4.684738178571428335e+01,3.730357071428571913e+01,9.974201000000000317e-01,6.183842699999999963e-03,-1.040718400000000075e-03,7.151233999999999369e-02,-2.186723999999999890e-01,5.686822999999999739e-01,-4.744758599999999937e+00,7.753913999999999529e-01,4.375174000000000007e-01,-2.492494300000000162e+00
3.563876887600000293e-02,-8.213284151999999949e-01,2.322288053800000002e-02,1.259709766000000064e-01,4.008327731999999921e-01,-1.088254846999999970e+01,2.678927911111111393e-01,-1.431352777777777918e-02,3.760430866666666372e-01,4.791805830769230568e+01,3.730999800000000022e+01,9.969131399999999754e-01,7.657686200000000422e-03,-2.159913399999999900e-02,7.509364000000000317e-02,-1.798459299999999872e-01,6.784966999999999526e-01,-4.918849999999999945e+00,7.410424399999999689e-01,5.455227499999999452e-01,-3.399334200000000195e+00
2.105060098538461266e-01,-6.662014409615384380e-01,6.981651117500000357e-03,-1.840719986538460334e-02,5.428544991153846366e-01,-1.110968928846153680e+01,3.238985811111110835e-01,-1.333832866666666804e-02,3.231890777777777779e-01,4.898085306666666838e+01,3.731799960000000738e+01,9.901535000000000197e-01,1.799405000000000102e-02,-1.160488300000000056e-01,7.619095600000000412e-02,1.332868200000000003e-01,8.277523500000000256e-01,-5.092940300000000420e+00,7.418747500000000272e-01,6.867271000000000347e-01,-4.374648600000000442e+00
1.928427453000000277e-02,-3.639128578000001002e-01,8.039847313200000622e-02,6.099563219999998287e-02,4.614608546000000255e-01,-1.056706706399999796e+01,3.527299633333333406e-01,-1.635940911111111260e-03,2.894598788888889107e-01,4.989390299999999456e+01,3.732000000000000028e+01,9.809421299999999677e-01,4.923080299999999659e-02,-1.704005000000000103e-01,7.932558000000000664e-02,7.458988399999999519e-01,1.097073600000000093e+00,-5.212357500000000421e+00,8.103569000000000466e-01,8.787652999999999714e-01,-5.370207299999999684e+00
-1.291904834000000002e-01,-3.150150341800000420e-01,2.139957412000000336e-01,-1.415256734000001036e-02,3.206884024000001276e-01,-9.146289239999999765e+00,3.689683288888889190e-01,-2.016472204444444763e-02,2.675532988888889019e-01,5.073083578571428376e+01,3.732428485714285671e+01,9.733456999999999804e-01,4.170901300000000311e-02,-2.079614100000000132e-01,8.723952599999999780e-02,1.474418999999999924e+00,1.451330000000000009e+00,-5.120803399999999783e+00,1.017600400000000072e+00,1.142188299999999934e+00,-6.358983499999999900e+00
2.121440648280000230e-01,-3.128204370000000067e-01,2.094719166000000021e-01,-3.059985737999999095e-02,5.864477794999999327e-01,-8.779677473999999648e+00,3.855380922222222395e-01,-3.804336922222222722e-02,2.299991388888888710e-01,5.161832138461537767e+01,3.732999799999999624e+01,9.658339599999999914e-01,3.210033000000000331e-02,-2.350090300000000076e-01,1.044276999999999983e-01,2.212810300000000119e+00,1.744094500000000103e+00,-4.743242300000000355e+00,1.383495099999999978e+00,1.471614699999999942e+00,-7.271898300000000148e+00
3.893588173461538793e-02,-2.311066403846153555e-02,1.220400252307692474e-01,-2.712974193461539230e-01,1.915032548653845812e-01,-9.312502190384616796e+00,4.001857469999999806e-01,-4.379704339999999918e-02,2.019726149999999942e-01,5.241588214285714287e+01,3.733214128571429313e+01,9.515281300000000275e-01,6.270599999999999785e-02,-2.702480600000000122e-01,1.327713100000000035e-01,3.041749499999999884e+00,2.075733399999999840e+00,-4.287726000000000148e+00,1.923688800000000088e+00,1.869700799999999941e+00,-8.137156499999999681e+00
-1.677639481424000045e-01,-2.134656161559999876e-01,2.250821458245999898e-02,-4.165644796720001097e-01,3.504694031200001336e-01,-8.902283697999999745e+00,3.997880733333333270e-01,-5.527188644444444576e-02,2.028766899999999707e-01,5.378516921428570896e+01,3.733571342857143094e+01,9.532505999999999480e-01,4.896037000000000305e-02,-2.639690299999999934e-01,1.386963400000000013e-01,3.895244799999999952e+00,2.445948000000000011e+00,-3.870774500000000007e+00,2.593845799999999979e+00,2.330599299999999818e+00,-8.911160000000000636e+00
5.233124239999981499e-04,-4.700406388000000039e-03,1.176677834008600133e-02,-6.040417177999999332e-01,3.615835356000000056e-01,-8.709496293999999139e+00,4.040961999999999610e-01,-5.917268166666667106e-02,1.914018155555555489e-01,5.494662776923077274e+01,3.733769184615385228e+01,9.478488600000000153e-01,3.721051999999999693e-02,-2.861277999999999877e-01,1.353839500000000029e-01,4.712785199999999897e+00,2.787463999999999942e+00,-3.441815599999999975e+00,3.441156599999999788e+00,2.878516999999999992e+00,-9.659304999999999808e+00
