timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,fix_type,vel_ned_valid,satellites_used
155065707,1532703785399678,325150268,-1169558716,42625,8520,0.215,0.52517354,0.62,0.90400004,0.59,0.81,86,6,0.054,-0.025,-0.048,0.056,2.5633307,0,nan,3,1,20
155260700,1532703785599678,325150268,-1169558717,42603,8499,0.22500001,0.5251852,0.62,0.90300006,0.59,0.81,86,5,0.030000001,-0.028,-0.010000001,0.025,2.5633307,0,nan,3,1,20
155461728,1532703785799678,325150267,-1169558717,42582,8477,0.25100002,0.52519834,0.62,0.90300006,0.59,0.81,86,5,0.024,-0.019000001,0.014,0.033,2.5633307,0,nan,3,1,20
155673674,1532703785999679,325150267,-1169558718,42561,8457,0.20500001,0.525209,0.619,0.90300006,0.59,0.81,86,5,0.024,0.021000002,-0.011000001,0.009000001,2.5633307,0,nan,3,1,20
155861739,1532703786199678,325150268,-1169558718,42556,8451,0.21200001,0.52522016,0.619,0.90200007,0.59,0.81,86,5,0.054,-0.018000001,0.051000003,-0.032,2.5633307,0,nan,3,1,20
156060383,1532703786399678,325150267,-1169558718,42538,8434,0.209,0.525231,0.619,0.90200007,0.59,0.81,86,5,0.094000004,-0.07700001,0.055000003,-0.039,2.5633307,0,nan,3,1,20
156261671,1532703786599678,325150266,-1169558717,42682,8577,0.23400001,0.5252954,0.61800003,0.90200007,0.59,0.81,86,4,0.124000005,-0.096,0.079,-1.2260001,2.5633307,0,nan,3,1,20
156461692,1532703786799678,325150264,-1169558716,43065,8961,0.23500001,0.59844214,0.61800003,0.901,0.59,0.81,86,4,0.24100001,-0.216,0.10700001,-2.607,2.6145575,0,nan,3,1,20
156665722,1532703786999679,325150260,-1169558712,43694,9589,0.24300002,0.4223768,0.61800003,0.90300006,0.59,0.81,86,4,0.379,-0.24000001,0.294,-3.703,2.374552,0,nan,3,1,20
156872715,1532703787199678,325150255,-1169558702,44552,10448,0.275,0.3505183,0.623,0.90900004,0.59,0.81,86,4,0.71800005,-0.314,0.64500004,-4.5280004,2.1662529,0,nan,3,1,20
157070715,1532703787399678,325150249,-1169558684,45553,11448,0.289,0.25502157,0.633,0.91600007,0.59,0.81,86,4,1.024,-0.47100002,0.90900004,-4.7650003,2.0895514,0,nan,3,1,20
157271674,1532703787599678,325150244,-1169558670,46561,12456,0.29900002,0.6604439,0.64500004,0.92300004,0.59,0.81,106,3,0.48800004,-0.057000004,0.485,-5.1710005,2.037312,0,nan,3,1,20
157472717,1532703787799678,325150246,-1169558658,47605,13500,0.30600002,0.5565818,0.657,0.93100005,0.59,0.81,106,3,0.73200005,0.26200002,0.683,-5.3050003,1.5505047,0,nan,3,1,20
157680729,1532703787999679,325150254,-1169558638,48703,14598,0.30800003,0.33669108,0.669,0.93700004,0.59,0.81,106,3,1.2720001,0.59900004,1.1220001,-5.5230002,1.2059989,0,nan,3,1,20
157871730,1532703788199678,325150271,-1169558611,49760,15656,0.32700002,0.21848886,0.68,0.94400007,0.59,0.81,106,3,2.0180001,1.322,1.5250001,-5.5690002,0.95984656,0,nan,3,1,20
158078716,1532703788399678,325150303,-1169558576,50812,16708,0.32900003,0.16627333,0.693,0.95100003,0.59,0.81,106,3,2.8560002,2.1790001,1.8470001,-5.1780005,0.7969148,0,nan,3,1,20
158273744,1532703788599678,325150349,-1169558534,51787,17683,0.35300002,0.13716681,0.70600003,0.96000004,0.59,0.81,106,4,3.6050003,2.947,2.0770001,-4.6610003,0.6875155,0,nan,3,1,20
158476724,1532703788799678,325150408,-1169558485,52676,18571,0.328,0.11007634,0.72,0.96900004,0.59,0.81,106,4,4.386,3.5830002,2.5300002,-4.487,0.6430276,0,nan,3,1,20
