timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
155093640,0.25165442,-0.039993767,0.37221813
155114640,0.24867187,-0.039993767,0.3753476
155137947,0.22779398,-0.048770558,0.38160667
155160646,0.23375909,-0.039993767,0.40351325
155183689,0.22481142,-0.039993767,0.40664276
155205640,0.22779398,-0.05169616,0.40664276
155227648,0.23375909,-0.037068173,0.42229035
155248639,0.2397242,-0.042919364,0.40664276
155271678,0.24270676,-0.04584496,0.40351325
155292688,0.23674165,-0.039993767,0.40038374
155314061,0.23674165,-0.039993767,0.4160313
155336642,0.23375909,-0.048770558,0.40351325
155359154,0.2397242,-0.042919364,0.40351325
155383071,0.23077653,-0.04584496,0.4129018
155407136,0.2397242,-0.042919364,0.4129018
155431090,0.2397242,-0.05169616,0.40664276
155455069,0.23077653,-0.042919364,0.40664276
155479124,0.24270676,-0.04584496,0.4097723
155503062,0.2397242,-0.05169616,0.40038374
155525641,0.23674165,-0.039993767,0.40351325
155547642,0.2397242,-0.042919364,0.40664276
155569646,0.2397242,-0.039993767,0.4129018
155591639,0.23674165,-0.048770558,0.40664276
155615087,0.23674165,-0.05169616,0.40664276
155639099,0.23375909,-0.042919364,0.40038374
155663144,0.2397242,-0.04584496,0.40664276
155687153,0.23674165,-0.048770558,0.39725423
155711082,0.23077653,-0.042919364,0.40038374
155735110,0.24270676,-0.042919364,0.4097723
155756641,0.23375909,-0.037068173,0.40351325
155777642,0.24568932,-0.042919364,0.41916084
155799097,0.23375909,-0.042919364,0.4129018
155823045,0.22779398,-0.039993767,0.40351325
155847134,0.23375909,-0.037068173,0.4160313
155871118,0.22779398,-0.04584496,0.40038374
155895076,0.22481142,-0.034142572,0.40351325
155917692,0.23674165,-0.034142572,0.4097723
155940639,0.22182886,-0.031216977,0.39725423
155962645,0.22481142,-0.037068173,0.40038374
155984646,0.22779398,-0.025365783,0.40351325
156007970,0.22779398,-0.022440186,0.40351325
156031843,0.23077653,-0.02829138,0.4129018
156055913,0.22182886,-0.02829138,0.4160313
156079827,0.23375909,-0.022440186,0.40038374
156102649,0.23077653,-0.02829138,0.4097723
156125686,0.23375909,-0.022440186,0.40351325
156148322,0.2188463,-0.019514589,0.40038374
156170671,0.22182886,-0.013663395,0.3909952
156193688,0.22182886,-0.016588992,0.40038374
